,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
67,Rutgers,120.1,106.8,0.794,3–3,3,6,51.7,57.6,39.4,33.1,14.4,19.5,30.1,38.1,68.6,52.9,57.1,33.1,39.1,10.9,5,43.4,45.5,36,34.1,69,78.534,81.27,1.275,"2,025",0,0,52.09,,73.8,69.4,1.125,1.163,38.319,Rutgers
68,Winthrop,113.7,101.2,0.792,5–1,5,6,59.5,50.7,38.4,32.7,19,17.6,33,28.4,72.9,54.5,50.9,43.9,33.6,7.6,10.9,55.9,46.6,43.7,38.5,72.7,77.079,79.654,2.408,"2,025",0,0,5.755,,61.6,70.6,1.17,1.035,9.505,Winthrop
69,Oklahoma St.,109.4,97.4,0.792,4–4,4,8,47.9,50.3,36.7,34.4,17.6,21.4,28.9,36.8,76,47.3,52,32.7,31.9,8.2,12,48.8,53.3,32.7,40.9,75.1,77.002,80.113,2.516,"2,025",0,0,38.118,,73.1,72.9,1,1.063,40.248,Oklahoma St.
70,Iowa,123.6,110.2,0.789,3–5,3,8,55.6,54.1,24.5,36.3,12.7,12.3,25.7,31.6,67.1,52.7,55.3,40,34.9,8.9,9.2,60.5,54.5,38.8,40.9,66.1,78.116,80.608,1.779,"2,025",0,0,54.344,,76.1,73.4,1.153,1.198,43.95,Iowa
71,Northern Colorado,116,103.6,0.786,6–1,6,7,63,48.7,37.7,36.3,17.3,15.8,26.9,20.6,66.9,62.3,48.3,42.9,33.1,3.5,6.4,46.1,28,36,31.3,67.8,76.963,79.672,2.479,"2,025",0,0,0.2,,74.8,78.1,1.216,1.013,6.299,Northern Colorado
72,Texas,116.3,103.9,0.785,3–5,3,8,49.7,48.9,39.8,54.9,14.9,13.2,27.8,29.5,68.8,47.8,49.2,35.6,32.4,11.7,9.4,43.1,50.5,33.7,37.1,68.9,78.026,80.717,2.185,"2,025",0,0,60.878,,73.4,72.8,1.061,1.119,48.392,Texas
73,San Diego St.,111.9,100.1,0.783,4–4,4,8,53.8,51.1,36.3,36.3,15.2,18.6,22.1,29.8,66.5,57.2,49.3,33.2,35.4,17,9.7,58.7,45.9,45.7,48.7,66.1,78.129,81.946,1.612,"2,025",0,0,41.514,,62,75.9,1.064,1.062,28.153,San Diego St.
74,Furman,115.7,103.6,0.781,6–1,6,7,60.3,49.8,44.2,28.4,17.4,16.9,25.8,29.6,68,54.4,48.7,43.9,34,9.2,11,66.5,48.9,51.9,45.6,68.4,77.854,81.449,2.045,"2,025",0,0,4.174,,73.1,75.6,1.194,1.048,11.485,Furman
75,Grand Canyon,112.4,100.8,0.778,7–1,7,8,53.7,47.9,42.5,35.2,17.4,20.5,33.9,31.3,70.8,57.4,42.9,30.3,37.2,13.8,8.3,49.6,57.1,30.3,38.4,70.9,77.889,80.515,2.47,"2,025",0,0,26.711,,72.4,72.1,1.124,0.987,9.481,Grand Canyon
76,Belmont,104.3,93.8,0.772,4–2,4,6,50.7,46.8,25.8,27.7,17.8,18.3,25,29.9,69.1,51.7,49.7,32.9,28.9,11,10.1,60,57.3,41.4,46.5,71.4,78.105,80.895,2.04,"2,025",0,0,13.381,,70.3,68.7,1.018,0.97,13.059,Belmont
