,team,This matches from B to L,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,,Team,This matches from L to B,,This matches from B to L
143,Notre Dame,Notre Dame,98.41397085,96.13082104,20.3,26.4,31.9,48.7,2.283149806,-5.577078618,,Kennesaw St.,Kennesaw St.,,Notre Dame
146,Winthrop,Winthrop,106.3349948,104.1753081,19.2,32.3,28.8,49.3,2.159686779,-5.753241065,,TCU,TCU,,Winthrop
151,Penn,#N/A,110.3631336,108.815474,19,24.3,34.5,49.4,1.547659609,-5.797977639,,Tennessee Martin,Tennessee Martin,,Penn
159,Fort Wayne,#N/A,104.2334356,103.9611339,14.1,32.1,28.4,53.1,0.272301734,-5.883045942,,Mount St. Mary's,Mount St. Mary's,,Fort Wayne
149,Youngstown St.,#N/A,105.4858398,103.7686754,16.1,31,35.9,49.7,1.717164307,-5.936829773,,Georgia Southern,Georgia Southern,,Youngstown St.
165,George Washington,George Washington,105.8581534,106.1663336,18.5,20.1,31.5,52.4,-0.308180228,-6.123339939,,Louisville,Louisville,,George Washington
166,Lipscomb,Lipscomb,106.406975,106.8592332,16.1,22.7,33,53,-0.452258214,-6.15312751,,Bowling Green,Bowling Green,,Lipscomb
163,Murray St.,#N/A,110.9517226,110.8034733,13.4,28,36.5,50.5,0.148249359,-6.183767891,,Akron,Akron,,Murray St.
152,San Jose St.,#N/A,107.9345868,106.6763083,15,35.2,34.5,53.8,1.258278541,-6.18965009,,Little Rock,Little Rock,,San Jose St.
153,Canisius,Canisius,106.7922375,105.77696,17.9,33.2,29.5,48.4,1.015277474,-6.400080741,,SMU,SMU,,Canisius
145,UCLA,UCLA,100.3669821,98.28443938,17.9,36.5,32.6,45.2,2.082542689,-6.40159896,,Central Arkansas,Central Arkansas,,UCLA
135,Eastern Washington,Eastern Washington,110.3566952,107.2475921,19.8,39.1,36.5,53.2,3.109103067,-6.409697129,,UNLV,UNLV,,Eastern Washington
144,Kent St.,#N/A,105.8972046,103.4806642,19.2,36,35.3,49.6,2.416540352,-6.453510385,,Southern Illinois,Southern Illinois,,Kent St.
160,Loyola Marymount,Loyola Marymount,105.7129692,105.4388041,17.2,29.4,31.2,48.1,0.274165087,-6.524259297,,Virginia,Virginia,,Loyola Marymount
155,Tulsa,Tulsa,99.12196423,98.26088254,20.7,30.4,29,51.3,0.861081682,-6.575740174,,Boise St.,Boise St.,,Tulsa
147,Morehead St.,#N/A,106.1930765,104.2988971,19.7,38.7,31.9,55.5,1.894179342,-6.659600601,,Towson,Towson,,Morehead St.
168,Evansville,Evansville,102.6099018,103.2670052,15.3,26.8,35.1,52.2,-0.65710341,-6.71903308,,Richmond,Richmond,,Evansville
156,South Florida,South Florida,104.338463,103.7412097,15.4,38,32.2,49.7,0.597253246,-6.86087552,,Long Beach St.,Long Beach St.,,South Florida
158,Monmouth,#N/A,103.1619311,102.8620174,17.9,31.2,33.2,46,0.299913747,-7.017452615,,Youngstown St.,Youngstown St.,,Monmouth
164,Rhode Island,Rhode Island,107.2453166,107.4541171,19.6,27.1,35.1,53.2,-0.208800543,-7.166018331,,Villanova,Villanova,,Rhode Island
181,Harvard,Harvard,103.9454651,105.5144945,16.9,25.6,31,49.7,-1.569029378,-7.178907921,,Mississippi Valley St.,Mississippi Valley St.,,Harvard
175,Colgate,Colgate,102.9974011,104.2803362,18.5,25.7,33.3,50.5,-1.282935049,-7.44254038,,Alabama A&M,Alabama A&M,,Colgate
